"","datetime","city","country","shape"
"53021",0006-01-19,"kambalda (western australia)","au","sphere"
"83788",NA,"kamloops (canada)","ca","sphere"
"38543",0003-04-20,"kampung gobek/tanah merah (malaysia)",NA,"sphere"
"43754",NA,"kaneohe","us","sphere"
"50768",0005-05-19,"kaneohe","us","sphere"
"37757",NA,"kansas",NA,"sphere"
"10285",NA,"kansas city","us","sphere"
"19269",0012-01-20,"kansas city","us","sphere"
"38544",0003-04-20,"kansas city",NA,"sphere"
"50561",0005-04-20,"kansas city","us","sphere"
"57853",NA,"kansas city","us","sphere"
"69444",0007-04-20,"kansas city","us","sphere"
"70999",0007-08-20,"kansas city","us","sphere"
"80598",0008-09-20,"kansas city","us","sphere"
"87205",NA,"kansas city","us","sphere"
"87432",0009-03-19,"kansas city","us","sphere"
"46406",0005-01-20,"karnak","us","sphere"
"70920",0007-08-20,"karnal (india)",NA,"sphere"
"49960",NA,"kathmandu (nepal)",NA,"sphere"
"40974",NA,"katonah","us","sphere"
"12462",0001-01-20,"katy","us","sphere"
"61662",0007-01-19,"katy","us","sphere"
"64987",NA,"katy","us","sphere"
"33811",0003-11-19,"kauai (2/miles off north coast of)",NA,"sphere"
"14102",NA,"kaufman","us","sphere"
"24586",0012-03-20,"kaysville","us","sphere"
"23135",NA,"kea&#39au",NA,"sphere"
"31937",NA,"keaau","us","sphere"
"49912",NA,"keaau","us","sphere"
"70686",0007-07-20,"keene","us","sphere"
"43399",NA,"keighley (uk/england)","gb","sphere"
"85366",NA,"keighley (uk/england)","gb","sphere"
"68005",NA,"kelowna (canada)","ca","sphere"
"79199",0008-04-20,"kelowna (canada)","ca","sphere"
"80500",0008-08-20,"kelowna (canada)","ca","sphere"
"22808",NA,"kelso","us","sphere"
"24975",NA,"kelso","us","sphere"
"5614",NA,"kendallville","us","sphere"
"80155",0008-07-20,"kendalville",NA,"sphere"
"27567",0001-05-20,"kennebunk","us","sphere"
"41145",NA,"kenner","us","sphere"
"10123",NA,"kennesaw","us","sphere"
"93",0010-10-19,"kennewick","us","sphere"
"53862",NA,"kennewick","us","sphere"
"74093",NA,"kennewick","us","sphere"
"83170",NA,"kenohsa",NA,"sphere"
"24942",NA,"kenosha","us","sphere"
"28829",0002-01-20,"kent","us","sphere"
"28949",0002-01-20,"kent","us","sphere"
"37669",NA,"kent","us","sphere"
"43240",NA,"kent","us","sphere"
"46119",0005-01-19,"kent","us","sphere"
"49499",NA,"kent","us","sphere"
"86488",NA,"kent","us","sphere"
"34761",NA,"kentfield","us","sphere"
"59991",0006-06-19,"kentwood","us","sphere"
"68939",0007-04-20,"kentwood","us","sphere"
"60734",0006-09-20,"kernersville","us","sphere"
"78366",NA,"kerry (republic of ireland)",NA,"sphere"
"1314",0010-12-20,"keswick (canada)","ca","sphere"
"312",0010-11-19,"kewanee","us","sphere"
"313",0010-11-19,"kewanee","us","sphere"
"72129",0008-01-19,"keweenaw peninsual",NA,"sphere"
"53892",NA,"key largo","us","sphere"
"11979",0001-01-19,"key west","us","sphere"
"61792",0007-01-20,"key west","us","sphere"
"21671",NA,"kihei","us","sphere"
"47675",NA,"kilgore","us","sphere"
"9127",0001-11-20,"kilkenny (republic of ireland)",NA,"sphere"
"27384",0001-04-20,"kill devil hills","us","sphere"
"58039",NA,"kill devil hills","us","sphere"
"4950",NA,"killeen","us","sphere"
"48179",NA,"killeen/fort hood",NA,"sphere"
"31237",NA,"kimbolton","us","sphere"
"51331",0005-08-19,"kinder","us","sphere"
"10172",NA,"king george","us","sphere"
"17451",NA,"king of prussia","us","sphere"
"29835",NA,"kingman","us","sphere"
"16870",0011-06-19,"kingman (north of&#44 mt. tipton area)","us","sphere"
"80378",0008-08-20,"kingsbury","us","sphere"
"71500",0008-10-20,"kingsland (lake lbj)","us","sphere"
"42866",NA,"kingston","us","sphere"
"51838",0006-10-20,"kingston","us","sphere"
"555",0010-01-19,"kingston (canada)","ca","sphere"
"17037",NA,"kingston (canada)","ca","sphere"
"31360",NA,"kingston (canada)","ca","sphere"
"27643",0001-06-20,"kirkham&#44 preston (uk/england)",NA,"sphere"
"64409",NA,"kirkland","us","sphere"
"65006",NA,"kirkland","us","sphere"
"65968",NA,"kirkland","us","sphere"
"66752",NA,"kirkland","us","sphere"
"16336",0011-05-19,"kirksville","us","sphere"
"30630",NA,"kissimmee","us","sphere"
"55081",NA,"kitchener (canada)","ca","sphere"
"55211",NA,"kitchener (canada)","ca","sphere"
